,Approved_Flag_P1,Approved_Flag_P4,num_std_12mts,num_std,num_std_6mts,pct_PL_enq_L6m_of_ever,pct_PL_enq_L6m_of_L12m,pct_tl_open_L12M,AGE
5356,1,0,0,17,0,0.0,0.0,0.0,45
16197,0,0,0,0,0,0.0,0.0,0.0,23
28332,0,1,0,0,0,0.0,0.0,0.0,32
30526,0,0,0,0,0,0.0,0.0,1.0,26
36108,0,0,0,0,0,1.0,1.0,1.0,27
39128,0,0,3,4,2,0.0,0.0,0.5,25
31780,0,0,0,0,0,0.0,0.0,0.75,22
16403,0,0,0,0,0,0.0,0.0,0.0,27
49569,0,1,0,0,0,0.0,0.0,0.0,29
9998,0,0,0,0,0,0.0,0.0,0.0,41
4530,0,1,0,0,0,0.0,0.0,1.0,27
2141,0,0,0,0,0,0.0,0.0,1.0,43
29213,0,0,0,0,0,0.0,0.0,0.5,40
36592,1,0,0,0,0,0.0,0.0,0.5,29
35391,0,0,10,16,4,0.0,0.0,0.5,37
34130,0,1,1,9,0,0.0,0.0,0.0,46
51216,1,0,78,121,37,0.5,1.0,0.393,35
29321,0,0,0,0,0,0.0,0.0,0.5,27
23494,0,0,0,0,0,0.0,0.0,1.0,53
23584,0,0,0,0,0,0.0,0.0,0.5,48
34729,0,0,0,0,0,0.0,0.0,0.667,31
33770,0,0,0,0,0,0.0,0.0,1.0,35
45175,0,0,0,0,0,1.0,1.0,0.5,44
32841,0,0,5,5,5,0.0,0.0,1.0,25
2558,1,0,0,1,0,1.0,1.0,0.25,35
33054,0,0,0,0,0,0.0,0.0,0.0,43
50674,0,0,0,3,0,0.222,0.5,0.32,42
17419,0,0,0,1,0,1.0,1.0,0.0,28
46319,0,0,1,1,0,0.0,0.0,0.0,23
17473,1,0,8,32,2,0.0,0.0,0.0,42
49598,0,0,0,0,0,0.0,0.0,0.0,28
49980,0,0,0,0,0,0.0,0.0,0.0,36
50502,0,0,0,0,0,0.667,0.667,0.556,31
22924,0,0,0,0,0,0.0,0.0,0.0,28
19626,0,0,16,22,10,0.0,0.0,0.6,26
6885,0,0,9,9,4,0.0,0.0,1.0,28
1533,0,1,0,0,0,1.0,1.0,0.0,29
48154,0,0,0,0,0,0.333,1.0,0.429,25
41528,0,1,2,2,2,0.0,0.0,1.0,26
9002,0,0,0,0,0,0.0,0.0,0.0,38
957,0,1,0,0,0,1.0,1.0,1.0,28
50103,0,0,0,0,0,1.0,1.0,0.375,32
2760,0,0,0,0,0,0.0,0.0,0.5,39
50223,0,0,19,67,6,0.0,0.0,0.111,28
27134,0,0,7,15,1,0.0,0.0,0.0,46
29262,0,0,0,0,0,0.0,0.0,0.0,46
6314,0,0,0,0,0,0.0,0.0,0.0,29
20285,0,0,0,14,0,0.0,0.0,0.286,40
34656,0,0,5,47,0,0.0,0.0,0.278,44
369,1,0,17,38,5,0.0,0.0,0.143,31
26063,0,0,0,0,0,0.0,0.0,0.5,22
20586,1,0,72,133,39,0.333,0.5,0.441,36
22091,0,0,15,23,5,0.0,0.0,0.25,36
30838,0,0,0,0,0,0.0,0.0,0.0,22
10540,0,0,0,0,0,1.0,1.0,1.0,28
23578,1,0,14,35,5,0.0,0.0,0.091,59
40670,0,1,0,0,0,0.833,0.833,0.75,34
16157,0,0,8,8,4,0.0,0.0,1.0,22
38618,0,0,0,17,0,0.0,0.0,0.0,32
11715,0,0,0,0,0,0.0,0.0,0.0,54
8871,0,1,0,0,0,0.0,0.0,0.0,46
49219,0,1,0,18,0,0.0,0.0,0.0,25
40805,0,0,11,18,5,0.0,0.0,0.0,32
10463,0,1,9,12,4,0.75,1.0,0.5,31
37501,0,0,0,0,0,0.0,0.0,0.667,47
37175,0,0,0,0,0,0.0,0.0,0.0,30
40378,0,0,0,0,0,0.0,0.0,0.333,31
31092,0,0,0,0,0,1.0,1.0,0.714,54
15537,0,0,4,4,4,0.0,0.0,1.0,50
7886,1,0,6,29,4,0.0,0.0,0.263,34
20479,0,0,0,0,0,0.0,0.0,0.0,35
47084,0,0,0,0,0,0.0,0.0,1.0,23
22071,0,0,0,0,0,0.0,0.0,0.0,35
51269,0,0,0,0,0,0.0,0.0,1.0,42
29005,0,0,0,0,0,0.0,0.0,0.0,28
25779,0,1,0,0,0,0.0,0.0,0.0,50
30491,0,0,0,0,0,1.0,1.0,0.5,21
5661,0,0,0,0,0,0.0,0.0,0.0,29
3309,0,0,0,0,0,0.0,0.0,0.667,41
20189,0,0,4,12,0,0.0,0.0,0.5,24
