,Credit_Score
5356,704
16197,675
28332,658
30526,663
36108,667
39128,684
31780,674
16403,669
49569,650
9998,684
4530,653
2141,676
29213,688
36592,709
35391,693
34130,657
51216,773
29321,682
23494,675
23584,660
34729,681
33770,674
45175,668
32841,690
2558,719
33054,702
50674,696
17419,687
46319,674
17473,704
49598,685
49980,691
50502,673
22924,685
19626,682
6885,685
1533,657
48154,662
41528,657
9002,679
957,657
50103,689
2760,666
50223,700
27134,667
29262,669
6314,702
20285,685
34656,699
369,724
26063,665
20586,751
22091,686
30838,685
10540,675
23578,724
40670,656
16157,693
38618,676
11715,678
8871,657
49219,645
40805,692
10463,653
37501,683
37175,693
40378,661
31092,668
15537,670
7886,706
20479,675
47084,680
22071,680
51269,674
29005,678
25779,651
30491,672
5661,673
3309,674
20189,685
26053,683
3056,648
1905,696
19961,617
4156,675
943,682
24157,695
22137,673
32716,688
24197,677
28160,701
2294,686
6803,665
21757,675
13342,684
37908,698
46844,684
18679,695
26772,665
40517,712
26658,670
33401,682
24724,688
22070,720
289,687
32519,622
23417,710
26965,680
8822,684
14697,666
46395,677
43931,704
5116,673
45988,687
44970,659
38136,703
42966,669
47569,674
24788,656
39344,661
51244,667
27166,674
36920,655
30905,697
33203,716
25911,668
12418,706
16933,665
17196,683
40561,690
47994,666
9733,651
30521,670
39592,703
20904,714
14224,648
28297,686
21916,675
2301,696
23894,727
38394,691
6081,659
24744,681
20552,703
1127,687
34802,689
29266,658
9555,628
23687,663
36894,670
45914,670
32199,672
16100,675
9571,678
44403,692
9235,667
28829,713
42302,668
28951,685
21358,678
4851,671
12435,676
4093,671
36728,682
24672,677
46997,698
22451,702
6245,682
4882,699
22303,677
1464,691
12483,667
26822,685
21268,656
36798,681
17922,663
47974,657
46489,664
28165,665
5286,651
19391,691
9889,684
43718,671
44710,640
20120,676
35097,697
39587,653
33025,705
43636,676
40022,709
44021,677
34508,656
32290,672
22848,704
6601,646
38999,677
8879,681
24056,692
15712,668
10604,697
23818,687
47711,682
33926,676
11578,687
26893,661
34345,717
32936,680
24880,673
27338,710
31782,680
49766,680
45418,668
8326,642
20212,710
29903,701
33504,694
49903,654
33107,656
22111,670
37022,689
41158,673
47740,689
42525,674
22806,642
2299,677
12950,712
27096,687
2186,669
13315,681
44378,691
48109,705
12586,681
22245,677
32255,659
35893,679
30963,690
12403,560
17075,676
4660,663
6394,680
648,659
51063,674
14658,705
39313,659
1392,679
6014,677
25997,681
14585,687
4548,669
30718,666
30741,663
23090,634
6882,678
21960,674
35160,674
33088,661
28286,681
10901,736
16180,700
6988,699
9123,676
10418,678
6205,693
4402,688
17712,667
19732,687
6233,648
6253,702
30952,678
9861,682
10821,701
2990,679
10263,679
13278,733
21176,683
6739,650
1389,678
40694,664
34829,672
5262,662
17595,676
27267,658
43349,681
26387,682
9264,682
18486,698
30513,676
15959,699
28010,653
20794,662
9683,678
11757,667
18603,703
19740,671
39904,671
27522,689
15486,683
34500,678
25754,643
22897,682
28503,626
1442,667
46387,684
26343,691
22087,649
24588,707
12802,688
29917,714
23917,696
43090,661
10881,671
22291,678
35108,679
24477,687
30830,692
27440,679
27221,674
8761,664
5133,723
5438,672
32550,671
11636,712
7462,642
39693,680
33674,660
29626,633
33675,679
911,707
2772,692
32912,683
2351,680
23458,660
42102,702
43045,677
51263,680
24270,674
3942,703
14589,680
48592,672
41428,683
46111,679
2595,689
27638,672
2442,675
25967,633
1295,682
44068,725
2649,689
45582,682
1807,658
33318,667
2861,688
12426,682
12528,661
8897,670
9311,675
33200,674
11841,685
33323,668
1748,690
20443,681
26923,676
47261,702
10727,681
29706,692
18233,693
25607,685
4563,681
47534,672
18329,680
4619,669
8153,677
7811,704
9270,682
14804,660
2158,688
24421,659
34842,676
45856,672
41970,662
15943,663
28181,676
14180,680
35599,614
7658,682
45575,696
24823,652
7062,685
30079,660
13256,652
8568,683
3269,670
10586,725
23709,699
34727,663
8402,697
50031,673
18869,695
5861,664
38202,660
35734,725
7936,691
43091,674
